date,clicks,conversions,cost_micros,engagements,impressions,interactions,interaction_rate,average_cpm,ctr,average_cpc,conversions_value,value_per_conversion,engagement_rate,average_cost,cost_per_conversion,average_cpe
2021-01-08,191,6.0,524.3800000000001,0,1159,191,0.16735789473684212,450443554.67368424,0.16735789473684212,1507944.1368421053,0.0,0.0,0.0,1507944.1368421053,895684.2105263158,0.0
2021-01-09,519,10.0,1662.92,0,2827,519,0.19826126126126123,587920233.8738738,0.19826126126126123,2588210.063063063,0.0,0.0,0.0,2588210.063063063,2727537.8378378376,0.0
2021-01-10,423,11.0,1332.2500000000007,0,2291,423,0.14909278350515465,437230050.3298969,0.14909278350515465,1631761.2268041237,0.0,0.0,0.0,1631761.2268041237,2264295.9175257734,0.0
2021-01-11,1081,29.0,3469.6100000000006,0,5322,1081,0.19068695652173925,587961546.0173913,0.19068695652173925,2635982.2608695654,0.0,0.0,0.0,2635982.2608695654,9246117.32173913,0.0
2021-01-12,1862,37.0,7336.275999999999,755,47761,2595,0.14797452229299365,542758309.8853503,0.1420254777070064,4044595.6242038216,0.0,0.0,0.04257961783439491,2783930.796178344,8193133.859872611,137646.7694267516
2021-01-13,2062,35.0,7635.579,525,55224,2561,0.17344303797468358,775057164.1772152,0.16437974683544307,4066474.474683544,0.0,0.0,0.0798227848101266,3449475.1265822784,13047426.708860759,85059.09746835445
2021-01-14,2021,24.0,7982.112000000003,589,47347,2592,0.15068749999999992,489423997.0875,0.14526250000000002,3512517.25,0.0,0.0,0.029449999999999997,2753311.43125,10172875.0,71407.5475
2021-01-15,1907,34.0,6456.487000000001,365,45288,2253,0.15094339622641506,516852504.1886792,0.14588050314465403,3397234.9433962265,0.0,0.0,0.041232704402515724,2859132.505660377,11672528.93081761,79423.00062893082
2021-01-16,1500,20.0,4760.653999999998,532,45543,1993,0.15112025316455688,401550054.3924051,0.1459810126582278,2541950.5126582277,0.0,0.0,0.04311392405063291,2027626.6835443038,7532300.6329113925,79764.42531645569
2021-01-17,1559,15.0,4686.98,428,42994,1947,0.14527333333333334,434542026.93333334,0.14016666666666672,2478977.033333333,0.0,0.0,0.04361333333333333,2000586.9366666668,6239812.026666666,94399.48066666667
2021-01-18,2061,47.0,8266.328,800,39711,2833,0.1719875776397516,653034287.0062112,0.16535403726708076,4129665.7888198756,0.0,0.0,0.02240372670807454,3034171.5900621116,9632531.080745341,146331.58385093167
2021-01-19,2538,41.0,7842.083000000001,481,54037,3000,0.16391304347826077,452523137.55279505,0.15877018633540374,2967351.9937888198,0.0,0.0,0.028472049689440993,2295445.416149068,13649376.422360249,97868.66273291926
2021-01-20,2536,34.0,8011.222,369,51168,2881,0.180826923076923,519885072.4230769,0.17698717948717949,3314282.636538462,0.0,0.0,0.026269230769230763,2432069.3993589743,13453849.256410256,205626.68333333335
2021-01-21,2688,19.0,8205.464000000002,398,49868,3061,0.17750310559006216,450202853.7515528,0.17221739130434785,3293975.010559006,0.0,0.0,0.025397515527950307,2585790.091304348,4329329.192546584,137772.6211180124
2021-01-22,2737,22.0,9526.482000000002,570,42822,3275,0.18439877300613497,716153803.8895706,0.17836196319018402,3793840.079754601,0.0,0.0,0.02633742331288343,3151529.263803681,8879751.484662578,115505.60858895705
2021-01-23,1789,4.0,6462.647,364,42007,2138,0.1841455696202531,789059701.670886,0.1784240506329114,3570650.4493670887,0.0,0.0,0.04594303797468354,2763367.0620253165,3625664.5569620254,75232.28101265823
2021-01-24,1575,9.0,4931.684,308,36439,1867,0.2085375,491788237.4,0.20453750000000012,2783258.85625,0.0,0.0,0.06388749999999997,2254397.24375,4191634.4,73185.75625
2021-01-25,1959,51.0,6950.6410000000005,762,33665,2674,0.15770552147239267,514260332.0,0.14723926380368102,3010691.8650306747,0.0,0.0,0.05229447852760736,2259650.3680981593,13136125.81595092,128133.44969325153
2021-01-26,1702,44.0,5425.168000000002,871,34573,2533,0.18005625000000006,405087816.75,0.16435625000000006,2592855.8625,0.0,0.0,0.06375624999999999,1786963.36875,8173745.625,97237.56875
2021-01-27,1343,40.0,4619.047000000002,877,31741,2174,0.17770186335403723,430399160.7950311,0.16674534161490678,2483576.8074534163,0.0,0.0,0.04780745341614905,1776035.2111801242,8174079.453416149,104272.0950310559
2021-01-28,1617,46.0,4465.141000000003,680,31558,2260,0.16500675675675677,370881236.5337838,0.14980405405405414,2551068.7702702703,0.0,0.0,0.07075675675675674,1898420.0222972974,7237694.594594595,120496.90743243243
2021-01-29,1873,35.0,6402.794999999999,805,36419,2650,0.18516778523489927,506856912.2281879,0.16546308724832218,3566531.5302013424,0.0,0.0,0.06673825503355706,2749265.5,11359844.912751678,94254.50134228187
2021-01-30,1629,27.0,5231.107999999999,374,41307,1988,0.13840000000000005,364792211.9310345,0.1313793103448277,2767075.5310344826,0.0,0.0,0.07002758620689654,2163492.8206896554,10279158.703448275,62153.79517241378
2021-01-31,1403,20.0,4552.563000000002,138,38267,1537,0.15799999999999995,547462819.4615384,0.15392307692307686,2910483.5734265735,0.0,0.0,0.05718181818181818,2740789.4965034965,10799210.48951049,35205.10349650349
2021-02-01,2250,29.0,7188.360000000006,659,60790,2873,0.17133333333333334,523031311.72789115,0.16312244897959186,3289214.285714286,0.0,0.0,0.07876190476190477,2689309.4231292517,15371799.42857143,82517.20408163265
2021-02-02,2639,50.5,8876.917999999998,638,71729,3249,0.16598780487804873,595718318.6097561,0.16028048780487808,3562915.7682926827,1.931707317073171,3.863414634146342,0.04302439024390244,2931401.919512195,15378590.853658536,72255.88414634146
2021-02-03,2310,45.0,8418.957999999999,895,54501,3161,0.160698224852071,549712873.7869823,0.1502366863905326,3548464.230769231,0.0,0.0,0.05113017751479291,2857269.65443787,16947307.55029586,86936.18875739645
2021-02-04,2071,43.0,8890.765000000001,1063,45456,3081,0.14228735632183903,539556888.9195403,0.1338103448275862,3607377.103448276,0.0,0.0,0.039597701149425284,2730578.293103448,15342387.310344828,80709.38103448277
2021-02-05,1975,46.07,7905.690999999997,706,35891,2631,0.14586046511627906,635587295.4651163,0.13956395348837206,3907497.680232558,6.638662790697674,6.204011627906977,0.03136046511627907,3092943.0075581395,13959793.38372093,91129.85930232558
2021-02-06,1544,17.0,6553.332999999999,212,35910,1746,0.12247058823529404,486911557.15294117,0.12060588235294112,4338405.176470588,0.0,0.0,0.025005882352941173,3762403.6352941175,8481703.976470588,45169.65
2021-02-07,1335,18.0,6074.704000000001,145,30424,1472,0.14813939393939396,507417926.43636364,0.14635757575757574,4754556.424242424,0.0,0.0,0.03547878787878789,4093151.5393939395,8001757.672727273,27448.563030303034
2021-02-08,2239,45.260000000000005,8964.118999999999,394,47907,2621,0.14649418604651157,609016044.255814,0.14393023255813955,4396261.1686046515,1.3625348837209301,10.465116279069768,0.06052906976744185,3728270.706395349,11787202.953488372,55922.454651162785
2021-02-09,2412,43.0,9424.998000000003,511,77547,2884,0.1220238095238096,553430153.4523809,0.11737500000000009,3571205.130952381,0.0,0.0,0.04588690476190476,3237162.619047619,15032312.476190476,79950.32559523809
2021-02-10,2063,48.32,8665.157000000001,609,49611,2621,0.13818902439024391,498213763.6585366,0.1337926829268293,3361388.8353658537,0.857701219512195,2.682926829268293,0.02364634146341463,2654145.3457317073,12508507.902439024,121503.34268292683
2021-02-11,1953,34.271,8961.818999999996,351,49764,2287,0.1354727272727273,645665459.7818182,0.13134545454545457,3817046.987878788,0.8089939393939395,2.981818181818182,0.03269090909090909,3274208.4909090907,14084176.181818182,70026.59515151515
2021-02-12,1832,32.0,7834.018000000001,435,44142,2238,0.14295597484276729,623548765.1069182,0.13717610062893085,3805534.0880503147,2.7672955974842766,1.3836477987421383,0.04478616352201257,3279498.748427673,13623836.679245284,64313.24339622641
2021-02-13,1168,28.0,5701.444,220,33659,1381,0.10546496815286621,493792497.10828024,0.10233757961783438,3657280.74522293,0.0,0.0,0.05026114649681529,2896097.2675159234,8196789.808917197,100367.92547770702
2021-02-14,996,6.0,4684.963,260,36574,1241,0.10453086419753083,627553109.2716049,0.09722839506172837,3556853.2716049384,0.0,0.0,0.040919753086419756,3171736.0679012346,7592506.1728395065,72042.25308641975
2021-02-15,1518,40.0,6679.447999999999,448,44234,1951,0.1187378048780488,583141820.4756098,0.11202439024390248,4106553.463414634,0.0,0.0,0.030780487804878034,3483895.8536585364,13980203.170731707,72638.59451219512
2021-02-16,1534,35.188,6470.025999999999,599,45795,2097,0.10322360248447203,377373335.0931677,0.0956583850931677,3360867.3602484474,0.18681987577639753,0.9937888198757764,0.03435403726708074,2461150.2795031057,10813455.527950311,134728.11366459625
2021-02-17,1677,23.0,7069.787000000007,516,53321,2157,0.12667415730337084,438467397.5955056,0.12383146067415743,3573973.4213483147,0.0,0.0,0.016808988764044942,2802370.5,10182842.741573034,188448.35393258426
2021-02-18,1721,29.0,7023.560999999999,435,53806,2128,0.1153815028901734,517010996.7630058,0.11298265895953757,3733035.612716763,0.0,0.0,0.016121387283236994,3074521.5317919077,7526508.312138728,143050.1260115607
2021-02-19,1598,27.0,7411.717999999998,361,45554,1931,0.11453448275862066,533859171.17241377,0.11151149425287356,3858873.988505747,0.0,0.0,0.019735632183908048,3183341.1091954024,9647011.402298851,125241.77298850575
2021-02-20,1221,20.0,5382.267000000003,200,39302,1405,0.11961271676300579,524966046.9537572,0.11734104046242777,3462563.2716763006,0.0,0.0,0.019815028901734102,3048545.2427745666,6177502.89017341,94684.41040462427
2021-02-21,1166,19.0,4333.529,45,45596,1208,0.10068390804597696,306809503.82758623,0.09989655172413787,2765212.6781609193,0.0,0.0,0.020971264367816093,2538625.724137931,4668417.195402299,27383.045977011494
2021-02-22,1627,38.0,7699.596,140,29589,1764,0.11928651685393253,736158821.9719101,0.11058426966292133,4818604.887640449,0.0,0.0,0.02458988764044943,4483035.247191011,10442052.674157303,28516.97584269663
2021-02-23,1720,28.205,9002.217999999995,164,30863,1878,0.1151156069364162,568076984.8901734,0.11307514450867052,4100907.514450867,0.8027456647398844,3.915167630057803,0.009878612716763005,3720637.514450867,16310075.329479769,63009.687861271676
2021-02-24,1809,25.083,9052.000000000002,311,34038,2115,0.13287078651685402,583753379.8370787,0.128370786516854,4157162.4213483147,0.05624719101123596,0.6741573033707865,0.025943820224719097,3657520.741573034,12737549.438202247,79664.26573033708
2021-02-25,1683,38.0,6844.709000000002,251,33829,1924,0.1301363636363637,494254410.96590906,0.12798295454545455,3680117.6306818184,0.0,0.0,0.018744318181818185,3127369.5056818184,8900602.931818182,68051.80113636363
2021-02-26,1636,27.0,6036.755000000006,200,30344,1820,0.10550574712643675,402755517.0632184,0.10274712643678159,2538360.0517241377,0.0,0.0,0.01589080459770115,2192743.9770114943,9008008.574712643,64406.75862068965
2021-02-27,1079,18.089,4308.302999999994,117,24779,1190,0.137462962962963,502463599.9691358,0.13501851851851854,3015277.4691358022,0.2933395061728395,3.2789259259259262,0.010777777777777777,2810459.8086419753,7129999.901234568,39547.950617283954
2021-02-28,1008,14.0,4060.2470000000003,128,22851,1129,0.14732926829268297,714317800.7317073,0.14550000000000002,3124159.9573170734,0.0,0.0,0.020231707317073168,2906908.8902439023,9683638.414634146,51923.439024390245
2021-03-01,1802,29.225,7899.882000000001,382,34108,2167,0.12501156069364164,503699096.7398844,0.12188439306358381,3444615.2485549133,0.7079132947976878,3.1445086705202314,0.022693641618497105,2862361.2716763006,11305095.560693642,62274.74566473989
2021-03-02,1943,41.0,8586.079999999993,299,38494,2229,0.14419680851063826,724916656.2234043,0.14081914893617015,3784020.015957447,0.0,0.0,0.014867021276595742,3383698.1329787234,10370580.255319148,42703.414893617024
2021-03-03,1956,37.0,6796.079,348,34266,2291,0.12702222222222212,445058841.37777776,0.12440555555555548,2617984.738888889,0.0,0.0,0.030733333333333324,2265462.7944444446,9710316.622222222,36487.48055555556
2021-03-04,2021,35.0,7235.773999999998,406,32395,2419,0.14003125000000005,457863367.0052083,0.1368802083333333,2636793.6041666665,0.0,0.0,0.021276041666666665,2161640.6953125,9597290.208333334,45800.705729166664
2021-03-05,1842,39.0,6025.417000000002,295,28349,2130,0.14569518716577537,435156098.96256685,0.14215508021390372,2811510.229946524,0.0,0.0,0.020620320855614972,2186646.5721925134,5270290.374331551,57224.1705882353
2021-03-06,1267,14.048,4289.432999999999,115,31491,1379,0.13183606557377045,409728190.87431693,0.13065027322404368,2828324.426229508,0.13053551912568306,2.7141311475409835,0.009754098360655735,2316505.0655737706,8556888.24043716,72798.23661202186
2021-03-07,1114,20.934,3278.962999999997,126,30433,1233,0.1616531791907515,530771949.57225436,0.1572774566473989,2832846.572254335,0.9464046242774568,3.699421965317919,0.02092485549132948,2294295.9826589595,5954590.196531792,64973.167630057804
2021-03-08,1814,24.0,5901.834000000004,123,33367,1930,0.15106666666666663,488081751.7846154,0.14758974358974356,2743211.846153846,0.0,0.0,0.015682051282051284,2203653.9487179485,5955075.343589744,125292.78615384616
2021-03-09,1742,33.0,5692.893000000001,4,50277,1746,0.1365612244897959,524419762.67346936,0.13629591836734692,2265498.6173469387,0.0,0.0,0.006341836734693877,2258671.8061224488,9943715.795918368,1034.1530612244899
2021-03-10,1716,33.565,6630.350999999998,13,30160,1729,0.1605427135678392,631846953.1557789,0.15905025125628144,2676143.8592964825,1.5343316582914572,3.8341708542713566,0.007150753768844219,2661864.7236180906,10730681.427135678,14405.502512562814
2021-03-11,1746,24.0,5526.924999999999,17,47121,1759,0.13371134020618564,476709872.26804125,0.13187628865979387,2315230.68556701,0.0,0.0,0.005314432989690721,2307995.288659794,8705363.402061855,6546.0360824742265
2021-03-12,1230,18.0,4316.804000000002,6,21802,1234,0.13268648648648648,598113287.7513514,0.13233513513513512,2851231.4918918917,0.0,0.0,0.00435135135135135,2843365.827027027,5810064.908108108,8140.508108108108
2021-03-13,945,17.111,2396.9,0,23493,945,0.13829281767955803,402087516.2209945,0.13829281767955803,1840840.403314917,0.23860220994475137,2.154696132596685,0.0,1840840.403314917,5919116.022099447,0.0
