,date,clicks_ads,conversions_ads,cost_micros_ads,engagements_ads,impressions_ads,interactions_ads,interaction_rate_ads,average_cpm_ads,ctr_ads,average_cpc_ads,conversions_value_ads,value_per_conversion_ads,engagement_rate_ads,average_cost_ads,cost_per_conversion_ads,average_cpe_ads,transactions_anal,transactionRevenue_anal,sessions_anal,impressions_anal,adClicks_anal,adCost_anal
0,2021-05-01,1223,9.0,3241.141,1368,38815,2472,0.1589718309859154,1048870402.6901408,0.1307535211267605,2812299.9929577466,0.0,0.0,0.0469718309859154,2072698.7605633803,5487887.3239436615,118550.2676056338,132,52884.2,9964,111716,3121,9943.2
1,2021-05-02,1086,9.0,2274.9060000000004,746,49344,1764,0.1263986486486486,320569615.4662162,0.1001283783783783,1746843.3445945946,0.0,0.0,0.0546013513513513,1313195.3966216214,4802804.0,89057.91351351351,144,45234.5,8178,123259,3564,9035.47
2,2021-05-03,1844,49.0,6664.663999999995,1459,35897,3172,0.1491812080536912,495605717.0067114,0.1342617449664429,2047367.9899328856,0.0,0.0,0.0247248322147651,1667096.9412751675,4862423.181208054,59050.33859060402,382,130117.2,10448,119602,4537,14510.819999999998
3,2021-05-04,2625,51.0,10235.172999999995,983,66162,3520,0.1225417789757412,454630077.78975743,0.1112587601078166,2281864.061994609,0.0,0.0,0.0164986522911051,2117559.1913746637,5621681.380053909,44188.83423180593,322,125646.9,11116,152630,5333,19030.23
4,2021-05-05,2246,38.0,9917.544999999998,648,21336,2834,0.1529093198992444,564738984.9672544,0.1398790931989924,2424192.007556675,0.0,0.0,0.0184256926952141,2244019.833753149,7304683.299748111,59834.62216624685,307,95245.8,10386,102489,5321,18783.02
5,2021-05-06,2269,48.0,10823.820999999998,587,20136,2813,0.1333597883597884,568979840.8465608,0.1224365079365079,2627208.092592593,0.0,0.0,0.0164153439153439,2443619.947619048,6072058.243386244,29228.631746031748,323,111209.80000000002,10338,98067,4944,18827.9
6,2021-05-07,1947,45.0,10200.254000000004,1772,24938,3593,0.1327533875338753,662263082.6205962,0.120850948509485,2910856.8184281844,0.0,0.0,0.0172845528455284,2626010.0894308942,8412639.479674798,47103.07046070461,219,79669.5,9002,104453,4045,17258.100000000002
7,2021-05-08,1406,29.0,6957.861999999995,809,14135,2163,0.1405688073394495,715004186.1039755,0.1214342507645259,2320821.03058104,0.0,0.0,0.0292293577981651,2203049.922324159,6155330.226299694,48814.51987767585,110,38149.8,7048,87969,3328,14193.35
8,2021-05-09,1228,26.0,4288.357000000002,1328,24412,2432,0.1229299999999999,457739485.04,0.1081466666666666,1889289.9166666667,0.0,0.0,0.0328366666666666,1663693.6893333334,4825627.866666666,70376.21866666667,127,41241.29999999999,6193,94479,2928,10150.589999999998
9,2021-05-10,1889,32.0,7664.016000000003,1457,29483,3197,0.1328414239482201,614238260.1488674,0.1247346278317153,2230841.297734628,0.0,0.0,0.0269352750809061,2127784.4223300973,7111637.618122977,38617.00323624595,269,87451.34999999998,8060,95503,3712,14038.44
10,2021-05-11,2687,52.0,11012.574999999995,2711,46768,5123,0.1354686567164179,502445946.5791045,0.1254597014925372,2089018.4656716415,0.0,0.0,0.0208238805970149,1899564.671641791,6568612.011940299,71850.14328358209,304,95225.6,8604,122008,5119,19118.15
11,2021-05-12,2043,65.0,8978.177999999994,1269,21039,3174,0.1309181286549708,530277925.2923977,0.1177426900584795,2291033.730994152,0.0,0.0,0.0195204678362573,2011705.346491228,6434057.263157895,40342.8230994152,313,110466.65999999996,8294,107538,4495,17221.120000000003
12,2021-05-13,1929,52.0,8582.832,487,17041,2373,0.125116991643454,662076549.7381616,0.1129749303621169,2421918.398328691,0.0,0.0,0.0222952646239554,2128424.7103064065,6101969.805013928,37970.35988857938,320,111258.18000000002,11960,1023123,11894,43585.3
13,2021-05-14,2170,50.0,11345.862000000005,7115,60917,8855,0.1467829614604463,404173796.7991886,0.1059087221095334,2373050.918864097,0.0,0.0,0.0493448275862068,1686837.6616632862,5578865.54969574,80710.82880324546,235,85919.20000000001,30604,3677807,41907,61054.40999999996
14,2021-05-15,4225,34.0,36322.07999999999,16823,191105,20159,0.1222733188720173,636998986.7201735,0.0885249457700651,4987865.687635575,0.0,0.0,0.0529110629067244,2201365.6913232105,19900348.980477225,273504.9885032538,123,40280.0,24148,1889442,27576,63232.69999999999
15,2021-05-16,4259,26.0,22458.029,3788,85973,7820,0.1150347222222222,458409029.5416667,0.0980972222222223,3382591.421296296,0.0,0.0,0.0509583333333333,2212714.2766203703,11491090.148148147,130779.30787037036,143,46728.8,24640,1666417,27651,49043.98
16,2021-05-17,29820,64.0,58487.60599999999,408,1855325,30211,0.1367136563876652,685350945.3303965,0.1366475770925111,2336704.5528634363,0.0,0.0,0.0348414096916299,2329779.605726872,44216719.40088106,19215.640969163,370,119979.37999999998,44375,4762330,62368,115370.77999999998
17,2021-05-18,20198,84.0,52452.03099999996,71,997474,20268,0.1292305986696232,531512336.2217295,0.1291596452328162,2329947.2793791573,0.0,0.0,0.0191529933481153,2328083.401330377,30593986.385809317,6761.8926829268285,371,108289.98000000004,57846,6174983,73618,164362.80999999994
18,2021-05-19,23106,66.0,45532.979,640,1125394,23697,0.1364388489208633,566749095.7553957,0.134453237410072,2256043.0575539568,0.0,0.0,0.0242278177458033,2174024.333333333,18715387.94244604,40064.98800959233,343,105043.03,61709,7781389,91708,151777.55000000005
19,2021-05-20,40910,71.0,79867.11300000003,282,2442927,41175,0.1449014084507043,609691327.8967136,0.144849765258216,2312971.23943662,0.0,0.0,0.0261971830985915,2311280.1807511738,38239804.42253521,50390.18215962442,268,95309.30000000002,67332,9758558,115891,178485.28999999995
20,2021-05-21,11141,64.0,42166.79999999999,402,466646,11500,0.1351540229885058,604792224.0275862,0.1347655172413794,2567489.229885057,0.0,0.0,0.0336137931034482,2551992.372413793,8742199.944827586,54594.63333333333,259,95707.88,45343,5174312,64218,101198.43
21,2021-05-22,32740,38.0,88696.57100000004,1227,1725570,33869,0.1120617760617762,556364527.938224,0.1118474903474904,2420393.656370657,0.0,0.0,0.0316158301158301,2405657.2683397685,17869567.266409267,92537.73532818534,143,51188.50000000001,40410,3881837,59347,129131.13999999998
22,2021-05-23,10331,44.0,17863.379000000004,1196,633065,11447,0.1099257641921398,592003572.1091703,0.1094585152838428,2635357.2030567685,0.0,0.0,0.033853711790393,2605476.88209607,8396914.777292576,165545.7986899563,223,87720.25,34867,3804118,45875,92320.25000000004
23,2021-05-24,25369,70.0,38902.49799999999,3927,1935300,29070,0.1150144628099173,713472205.0991735,0.1134338842975205,2980989.995867769,0.0,0.0,0.0300330578512396,2892469.758264463,13456056.033057852,203291.20247933888,407,149486.40000000002,41120,4926744,60214,133557.19000000003
24,2021-05-25,20346,70.0,31852.529999999988,1058,1511473,21343,0.1329241245136188,842332458.340467,0.1325155642023348,2881030.571984436,0.0,0.0,0.0247178988326848,2869886.5992217897,9871583.540856032,103870.34435797666,625,239310.2,54316,6965909,83427,174443.13999999987
25,2021-05-26,32111,70.0,64619.38800000004,6363,2353459,38077,0.1125544354838709,663106641.8064516,0.1082741935483871,3402761.328629032,0.0,0.0,0.0263326612903225,3092961.16733871,34425367.82258064,161896.3185483871,430,143018.74,59387,6954078,83752,247620.4
26,2021-05-27,30272,86.0,89537.409,6422,2337500,36283,0.1061748971193415,763722726.473251,0.104872427983539,4175377.442386831,0.0,0.0,0.0282510288065843,4018784.872427984,44923572.3127572,263067.7962962963,455,175376.40000000005,57675,7047374,79986,389709.87000000017
27,2021-05-28,8730,90.0,98977.769,16648,296982,24380,0.1127713097713097,746725881.6133056,0.0938918918918918,7437393.819126819,0.0,0.0,0.0269812889812889,4705636.733887734,58136126.56964657,286142.86694386695,311,105976.50999999997,43154,3882851,49505,372118.5
28,2021-05-29,8976,85.0,92343.62200000005,9661,485997,18035,0.0987466666666667,894923668.2355555,0.0923666666666667,6804194.906666666,0.0,0.0,0.0291422222222222,5312777.26,55833611.16444445,314006.1311111111,276,133456.09999999998,54877,7170949,82015,419774.75999999966
29,2021-05-30,8192,65.0,96554.814,7437,410927,15016,0.0803555555555555,802140269.0977777,0.0740111111111111,7708480.853333333,0.0,0.0,0.0336644444444444,6247674.831111111,65551846.47111111,349570.46444444446,193,69666.73,59727,7841992,88953,463959.4000000002
30,2021-05-31,9204,76.0,115392.59399999995,5936,526182,14688,0.10867,1064807272.032,0.103766,8894622.432,0.0,0.0,0.0297639999999999,8132458.808,61320588.768,204379.898,552,224480.66,68257,9444122,103509,509272.60999999975
31,2021-06-01,11073,89.0,105712.46599999996,15785,661675,25701,0.1094510869565218,1007357372.4891304,0.1005307971014494,8055300.382246377,0.0,0.0,0.0386358695652173,7237165.972826087,38610872.58695652,131720.92028985507,318,93370.78,28696,1893872,28182,141424.5700000001
32,2021-06-02,4879,72.0,27563.284000000003,2978,212234,7616,0.1208726415094339,588919691.1981132,0.1136533018867925,3509527.7264150945,0.0,0.0,0.0435188679245282,2793103.0754716983,18041782.849056605,237897.68608490567,332,127778.2,13686,325110,7052,35265.19000000001
33,2021-06-03,3537,66.0,14196.266999999996,985,230599,4442,0.1250760368663595,597218277.9562212,0.1177649769585253,2675210.1774193547,0.0,0.0,0.0505852534562211,2352298.005990784,8259540.101382488,134712.96797235022,291,111342.2,11099,353429,6489,22860.52
34,2021-06-04,2330,63.0,10470.571000000007,215,72121,2525,0.1241642857142858,531745145.5761905,0.1158738095238096,2368989.745238095,0.0,0.0,0.0378,2238717.010952381,7655838.076190476,100628.07523809525,227,74404.59999999999,12747,919813,12071,31000.84000000001
35,2021-06-05,2011,30.0,7865.131,69,51311,2076,0.131746835443038,485506997.2810127,0.1238177215189874,2055450.382278481,0.0,0.0,0.0278506329113924,2022787.829113924,4244964.010126582,43594.34683544304,119,38987.0,25671,4060208,41850,85857.15000000004
36,2021-06-06,2178,30.0,8196.61,119,79292,2294,0.1219818181818183,415215923.0246753,0.1119558441558443,2053771.7493506493,0.0,0.0,0.0566961038961039,1984131.4615584416,8482738.7012987,26922.76025974026,143,46220.0,31264,5109356,53634,93094.44999999995
37,2021-06-07,3181,69.0,15075.368999999995,717,78585,3847,0.1212304250559284,408587515.19463086,0.1117404921700224,2115143.3736017896,0.0,0.0,0.0359821029082774,1961767.0158836693,6357464.6174496645,72288.50357941833,401,148227.8,33467,4557979,51247,100754.11000000002
38,2021-06-08,3455,61.0,15556.230999999996,1230,80613,4592,0.1659236111111112,680369857.0277778,0.151224537037037,2565901.152777778,0.0,0.0,0.0468703703703703,2330098.706481481,8818078.666666666,108073.06157407408,407,133020.59999999998,31993,4324520,47973,92788.26999999996
39,2021-06-09,2933,70.0,13522.169999999998,649,57031,3521,0.1529458239277653,662273229.9458239,0.1373002257336343,2518796.0293453727,0.0,0.0,0.0440880361173814,2338019.066591422,7041513.09255079,95275.85869074492,316,122998.99999999996,29700,3577624,42993,86770.90999999996
40,2021-06-10,2841,69.0,12335.423999999994,990,68090,3771,0.1532207207207206,576432683.2702702,0.1412027027027028,2240103.849099099,0.0,0.0,0.0308490990990991,2002445.4596846849,8387422.774774775,100908.82792792794,317,123566.4,29302,3340735,41425,81042.66
41,2021-06-11,2533,57.0,11416.868000000006,483,56841,2977,0.1446516587677725,483162496.2203792,0.1314644549763034,2180646.646919431,0.0,0.0,0.0429052132701421,1923820.504265403,6500629.374407583,64631.58317535545,289,99380.2,29771,4044047,47118,81966.73999999998
42,2021-06-12,2137,42.0,9244.133,493,63208,2604,0.1426633416458853,539590908.6159601,0.1289875311720699,2458782.458852868,0.0,0.0,0.0374962593516209,2139979.1466334164,4991057.117206982,86085.87730673316,160,58506.80000000001,25389,3664804,42453,66197.1
43,2021-06-13,2037,34.0,9181.747999999998,378,62623,2386,0.1063805970149254,374480666.15174127,0.0963805970149255,1948701.196517413,0.0,0.0,0.0382910447761194,1777101.5845771143,5299125.054726368,110439.39054726368,159,57797.5,34007,4489386,56044,75820.37000000008
44,2021-06-14,3243,64.0,15559.089999999997,802,78650,4001,0.1163999999999999,465769785.2258065,0.1072795698924732,2305179.243010753,0.0,0.0,0.0282645161290322,2045330.0,10565967.879569892,80724.62150537634,459,167258.6,36051,4370059,53982,80626.94
45,2021-06-15,3210,63.0,16004.688000000006,777,72871,3918,0.0862464929859719,326143124.05210423,0.073192384769539,2314763.448897796,0.0,0.0,0.0268096192384769,2102112.2587174345,4720947.911823647,114670.05230460924,421,157384.19999999998,27168,3329846,41081,75881.30000000002
46,2021-06-16,2622,60.227,13410.422999999986,311,42215,2906,0.1051016597510373,410239103.219917,0.0947966804979253,2346156.114107884,0.2185435684647302,0.9626556016597512,0.0306390041493775,2234471.731327801,4852126.987551867,68783.4304979253,362,145173.7,28378,3597588,43209,74368.05999999998
47,2021-06-17,2575,64.0,14793.626999999991,2106,53281,4536,0.1458917197452229,506686885.7919321,0.1251273885350319,2673286.963906581,0.0,0.0,0.0347813163481953,2100474.464118896,5937032.203821656,142216.557537155,299,104686.6,24110,2839601,34749,76069.70999999996
48,2021-06-18,2253,48.0,14731.890999999998,4946,60867,6810,0.1371401869158878,546474887.8691589,0.105768691588785,3343580.3224299066,1.341121495327103,1.341121495327103,0.0446425233644859,1989901.873831776,8132683.23364486,207815.79906542052,222,94767.0,19222,2683698,32164,71542.69999999997
49,2021-06-19,1567,29.0,10858.980999999992,3629,39604,4948,0.1302799999999999,346565753.895,0.0875375,3230058.45,0.0,0.0,0.0549675,1583549.6825,4293451.52,256835.9925,114,37947.7,16821,2036372,25151,73777.72
50,2021-06-20,1096,23.32,4634.026999999997,53,24617,1145,0.0909764397905759,447843159.7172775,0.0842068062827225,1876570.8612565445,0.1809947643979057,0.5654450261780105,0.0222460732984293,1793250.2958115183,2797133.769633508,31293.15706806283,123,44162.50000000001,19334,3106939,36147,65593.74000000002
51,2021-06-21,2250,58.359,11689.773999999994,117,29473,2363,0.1338803611738149,633446769.952596,0.1204379232505643,2505329.0361173814,0.446060948081264,1.2415349887133182,0.0424198645598194,2402404.856207675,6849404.036117381,46391.075169300224,430,165123.7,23538,2762605,33537,75871.21999999999
52,2021-06-22,2049,40.09,10047.359000000008,62,23170,2110,0.136004716981132,453832614.2924528,0.1297382075471698,2010266.3325471696,0.3486179245283018,3.875,0.0340306603773584,1964552.7735849053,7850668.396226415,26931.091509433965,326,111501.59999999998,19437,1863995,24957,66754.15000000001
53,2021-06-23,2056,46.678,10227.846,33,24055,2088,0.1263625866050809,556493646.6905311,0.1187736720554273,2052351.6651270208,0.7520346420323325,1.1085450346420322,0.0296327944572748,2016312.1616628172,5275622.378752887,20461.5935334873,322,130145.30000000005,28339,3519101,43686,65005.37999999999
54,2021-06-24,4145,65.75,18726.998,308,117867,4431,0.1336398210290828,661074771.689038,0.1231543624161074,2444587.4474272933,0.0939597315436241,0.1252796420581655,0.039393736017897,2316402.8277404923,8942337.619686801,81006.30805369127,306,111373.1,26730,3143016,36808,85834.66000000003
55,2021-06-25,16891,96.0,118478.62899999994,18805,1291132,34856,0.1164170506912442,479181688.9308756,0.1089423963133641,3761378.822580645,0.0,0.0,0.0386313364055299,2206198.50921659,52058972.71889401,287111.29262672813,257,112415.4,71019,9371791,111820,244912.45000000004
56,2021-06-26,17990,79.0,98966.057,15265,1729265,32523,0.1134278606965174,517902509.8308458,0.1108756218905473,3011969.957711443,0.0,0.0,0.035410447761194,2276195.1641791044,53905472.39800995,307891.2524875622,154,55780.95,57230,7843019,93901,182743.66000000003
57,2021-06-27,7833,56.0,64440.188,14515,685391,21562,0.0988367875647668,401002219.6528497,0.0941373056994819,3089407.945595855,0.0,0.0,0.0491658031088082,2136002.779792746,69941095.00518134,343540.1227979274,130,41002.7,50396,6025107,74256,162001.72999999995
58,2021-06-28,8331,91.639,69571.406,23665,647135,30770,0.1215471698113207,547026303.8278302,0.1137759433962264,3305388.0023584906,1.2373537735849058,0.7547169811320755,0.0454811320754717,2065169.47995283,61528578.18396226,234258.6900943396,320,109167.5,60987,8560470,91978,160231.12999999998
59,2021-06-29,10886,84.173,64789.99300000002,11216,896125,21631,0.1236246851385391,448426941.6322418,0.1192871536523931,2926703.959697733,0.1318312342569269,0.7632241813602015,0.0435591939546599,2198277.8362720404,45118707.04282116,192543.3967254408,344,125876.7,61411,8407369,90202,151134.13999999996
60,2021-06-30,7232,87.0,40980.28899999998,3272,497279,10391,0.1342596810933942,619271453.2870159,0.1296560364464694,2883789.353075171,0.0,0.0,0.0522915717539863,2565669.459453303,24619521.8952164,113762.51913439637,336,128773.4,56544,7386801,81915,110351.24999999996
61,2021-07-01,12410,101.333,73104.85599999997,11133,1090776,23120,0.1250870588235293,558722585.32,0.1196564705882353,2981277.663529412,0.602355294117647,1.807058823529412,0.0540023529411764,2463464.2872941177,52404016.00941177,114866.81764705882,305,118752.9,19124,1652457,19100,86864.53999999998
62,2021-07-02,5634,77.0,40751.965,5848,366346,11263,0.1132946859903382,435868641.9855073,0.1007077294685991,3134601.5,0.0,0.0,0.0757946859903381,2203451.0359903383,18080652.80193237,140078.0234299517,224,105190.19,14683,913242,12398,59865.76000000002
63,2021-07-03,1553,31.0,6892.398999999999,85,39825,1635,0.0908939393939394,352024698.0429293,0.08625,1882561.651515152,0.0,0.0,0.0487070707070707,1797872.133838384,5260259.636363637,15617.992171717173,135,41518.2,10866,879625,11177,25914.779999999988
