date,Unnamed: 0,clicks_ads,conversions_ads,cost_micros_ads,engagements_ads,impressions_ads,interactions_ads,interaction_rate_ads,average_cpm_ads,ctr_ads,average_cpc_ads,conversions_value_ads,value_per_conversion_ads,engagement_rate_ads,average_cost_ads,cost_per_conversion_ads,average_cpe_ads,transactions_anal,transactionRevenue_anal,sessions_anal,impressions_anal,adClicks_anal,adCost_anal
2021-05-02,1,2309,18.0,5516.0470000000005,2114,88159,4236,0.285370479634564,1369440018.156357,0.23088189950513882,4559143.337552341,0.0,0.0,0.1015731823372667,3385894.1571850018,10290691.323943662,207608.1811191473,276,98118.7,18142,234975,6685,18978.67
2021-05-09,35,13565,286.0,59087.67599999999,7586,207016,20527,0.9542442901617899,3918961374.374856,0.8582679721504373,16501599.917752653,0.0,0.0,0.1554150984267883,14965049.615110414,43254443.67703748,358596.23573973565,1790,621280.3,64531,759689,30436,112754.01000000001
2021-05-16,84,19202,311.0,106363.57199999999,33650,452326,50701,0.9084362035177487,3808620494.8195596,0.7734428398466696,19776319.920525078,0.0,0.0,0.24278911196439817,14268396.78037639,63186581.37655622,673775.4546846922,1707,577329.79,116310,8581838,122354,267294.1
2021-05-23,133,168246,431.0,385066.47900000005,4226,9246401,172167,0.9044260756712779,4146464029.2792153,0.9011817478663279,16858906.218545653,0.0,0.0,0.20350273889381132,16706294.043991387,166774580.14020106,429110.87117278157,1977,663238.3200000001,351882,41337527,513025,932646.2499999999
2021-05-30,182,133996,536.0,512788.0300000001,51516,9331638,182204,0.7585414519202804,5426423850.665981,0.7193657397014511,35390228.91799489,0.0,0.0,0.1991226024287867,29140191.222251788,282198163.91445386,1681845.1241814215,2697,1016291.0800000001,370256,44789897,527852,2201183.2600000002
2021-06-06,231,35212,426.0,289396.9229999999,26087,1833414,59342,0.8419627046714574,4690770679.557343,0.7873624511454085,29612872.59494805,0.0,0.0,0.2848507277534628,26760662.163913317,146616325.09301138,879856.6546803894,1982,716583.44,191420,22105910,252787,918775.3299999998
2021-06-13,280,19117,402.0,86331.94299999998,4940,466991,23698,0.9870161782441087,3724897356.4265833,0.8983005408066954,16028074.707113752,0.0,0.0,0.27648212589301063,14473231.484117191,47395290.69778283,637703.1028015176,2049,743498.2999999999,213629,27999095,329253,585340.16
2021-06-20,329,16566,351.54699999999997,89992.72699999998,12624,372105,28264,0.8120364991886957,3049722699.7711964,0.6779090215664769,18089595.403609466,1.7406598281897387,2.8692221231648647,0.24235055252799714,13849090.306307428,41299343.50604542,902339.6104785493,2000,751380.2999999999,171084,21964103,266483,517860.1699999999
2021-06-27,378,53214,441.877,332576.85099999997,49105,3900353,99933,0.858569184741639,3702934221.039189,0.806059489172662,18875291.207106806,1.6406732461855225,6.3503596654135155,0.2686846426878817,15318069.07238433,204823572.55286878,1113332.7361781304,1925,727342.75,276689,34528634,418965,883123.2500000001
2021-07-04,427,47649,501.645,303987.3779999999,55252,3578894,100444,0.8153664795103203,3421141387.1375003,0.7709061730580962,19383400.722768553,2.356725487144665,4.09537035639206,0.3412681061881352,15529629.566134345,212170854.8190903,822850.0157461144,1810,681220.6299999999,232762,28588219,316379,619642.7799999999
2021-07-11,476,14892,349.047,84777.80099999999,369,269951,15238,0.8385761700648076,4225422227.2193317,0.761055231400337,17795455.969703,0.0435065789473684,0.9324078947368424,0.22192978776427227,17500909.38825466,54049352.96555358,83053.72897969895,1773,587273.8099999999,67878,4761055,62724,194627.37999999998
2021-07-18,525,14308,342.34299999999996,63896.0,138,201455,14438,0.767367085035178,3042423913.5703144,0.737826641037239,12859037.001434293,0.7060320940338912,1.5500427416024407,0.0898751544928168,12796017.931103567,37421803.747686565,57150.499564243946,2014,683414.8599999999,79192,8392928,97696,220978.68
2021-07-25,574,51134,592.1200000000001,374777.4889999999,35683,2796596,85266,0.53568078491932,2492128433.2980943,0.4862604307247807,21873256.014407687,1.7211487983645002,2.2984390786003868,0.106202774292946,17932304.515026994,135932624.3561269,606374.7662521354,1940,618406.3500000001,348918,64051931,655473,1083135.5500000003
2021-08-01,531,44873,578.7669999999999,376947.6160000001,35087,2560635,77994,0.49330034244086585,2508455783.06844,0.45530260015359486,22637136.292912234,5.447524749013776,6.43375726031963,0.0882184176343954,18023660.39850244,136514841.59842283,732556.3281950548,1958,704220.83,339814,47910754,541556,918623.5299999999
2021-08-08,567,18128,364.72799999999995,155874.789,15944,760217,33280,0.4750534503412788,2431031826.2838273,0.4220445491000485,18172264.230047416,1.2112666468702935,3.149502185221575,0.10116164334942361,16832383.31979854,65008342.447696656,307186.4034668443,1721,547057.82,144481,20540835,205654,429951.89999999997
2021-08-15,707,20381,470.19699999999995,143785.136,697,398621,21030,0.4828354198274716,2773709989.254276,0.43164052265944075,18718550.208807305,11.516676799212966,6.8676089135155935,0.0800232403850251,18609616.814699713,47022514.795576215,145935.56110475576,2318,778353.3000000002,178816,43054668,386763,637803.0000000002
2021-08-22,756,37446,617.994,341502.409,80235,1929701,113610,0.5433425416303821,2785289905.9244328,0.47615862507670415,27655639.13619278,6.30486272170547,4.912266090375191,0.11546608178831681,18211331.82151271,127083614.0383892,822433.8141091049,2386,763459.7200000001,227544,39685643,405891,818953.3500000001
2021-08-29,805,43192,636.02,423498.43100000004,61405,2214040,101693,0.5177591885578289,4427735029.1600685,0.4763618379005415,43745923.005947866,0.9689947977290875,1.7609014939043228,0.09232179825771061,36627923.120526135,104750601.18171519,865321.9841480883,2331,808205.7000000001,249854,60144679,636656,1296204.88
2021-09-05,854,42749,568.658,401049.49600000004,32446,2110092,73788,0.48914191957745756,4617580636.649813,0.45877385913870167,52820924.11488591,0.9148865176840185,1.4312216467176893,0.1051015499946191,49394711.31248211,98324167.60383232,572555.8420604247,2429,817987.4999999999,237140,35175103,414750,876629.4800000001
2021-09-12,903,49395,271.038,404765.198,27606,2714597,75737,0.5028682866869206,4873289783.296624,0.47711203977473166,51761590.36609403,0.9337896395403362,0.7180703772719111,0.1008902088383738,48394924.76610811,70243314.47244154,671941.0260044034,2365,786327.1900000001,244829,31434544,378419,765980.4099999999
2021-09-19,952,36179,210.06400000000002,319294.17899999995,31052,2315003,65740,0.6158930278640461,4021241686.8831663,0.5896868332279271,37209801.53239377,2.9678891215709156,4.941954152666607,0.0863151942930107,32281814.404303916,54311255.804315545,873001.9422769395,2171,764736.7499999999,221115,30264209,345261,788633.48
2021-09-26,1001,26727,292.119,242044.926,12614,1048905,38602,0.5711058132841458,3472129002.7154326,0.5310859413985541,35653855.65126489,0.466591943821305,0.924499724409292,0.0715646430780679,32326903.10041681,36883964.2619349,688299.9082753233,3133,1283421.85,204717,29233854,324136,789764.0899999997
2021-10-03,1050,38164,278.054,213634.84100000001,34950,3019234,71029,0.6204619529859786,2881824841.72917,0.5695431484721917,24263597.454450525,0.3289475043330587,1.0499806499916133,0.07704831594059229,16297920.45582109,58110734.02018282,935383.1546554083,2716,835305.9199999999,206906,42790560,400995,1268263.6500000004
2021-10-10,1099,43031,291.083,173286.371,24819,4792568,66008,0.8124769243502143,3189359568.337345,0.7028187925126721,19442877.82576209,3.182149298169727,3.237219145673606,0.125511722651167,13255652.630613867,77058204.24303421,900367.2536181327,2169,705921.6399999999,159054,41209817,380076,939550.8999999999
2021-10-17,1148,65244,670.035,695398.876,210440,7223764,263044,0.7833437480496908,3872046923.527543,0.593093888692933,67981147.68168768,5.091505218195587,6.490469568175504,0.273819325771529,22270198.877583615,715487337.9006073,5107688.445714787,2516,781925.9800000001,176322,42414885,407219,1396518.3599999999
2021-10-24,1197,54932,531.283,376656.59200000006,73900,4871873,124172,0.6804440133087154,4224201698.654819,0.5840717859914961,48179817.85792253,10.131278412931223,39.06787820482869,0.1522394335026398,25218384.646614287,301613356.70815307,3459275.9412087672,2923,764604.92,173895,39859725,402723,1071161.2200000002
2021-10-31,1246,42352,362.527,195835.672,16313,2985074,57485,0.6286160596670483,4222149222.299445,0.5251097732709344,41221447.51587034,2.743536460942862,4.97050406156364,0.1594954398290167,26220111.76263504,121072709.14386497,2684838.5949463956,2454,845364.43,157061,29895967,347430,824258.38
2021-11-07,1295,46999,268.704,181451.47699999996,15419,3389095,61495,0.722404619864304,2966191982.7795253,0.6042008415131556,35173078.19718874,2.725769985797333,9.999944424824816,0.1961022348187094,23029666.684760652,138570257.15143165,2241555.2803424094,2002,616826.9299999999,163629,33744661,377552,752832.6
2021-11-14,1344,38476,1000.186,409708.67299999984,72249,1302913,102585,0.85283763368894,3865750654.5017533,0.7313737700141597,43511281.22050804,212.2473143195731,67.94346695773677,0.1730597154799671,24337464.72995248,289460591.9528961,3396402.526568219,3881,1274596.0,195792,21255094,275107,908675.7799999998
2021-11-21,1393,56886,1325.827,778897.1840000001,186265,2626176,221611,0.7197079674572333,4577405946.594293,0.6188001824684194,47472724.71159565,168.2591874886696,39.61350092999475,0.1390473473216291,31394403.520771407,372076786.8617756,2286139.0088589583,2632,856571.2000000001,265759,30043681,410634,1531270.5399999996
2021-11-28,1442,18084,410.59499999999997,148940.45500000002,0,143736,18084,0.7803012717239881,4492278651.252147,0.7803012717239881,28271310.932064373,2.687051051696013,9.78931326968498,0.0,28271310.932064373,174123342.3557454,0.0,3268,1035046.06,237153,15785524,244499,570494.06
2021-12-05,1060,19412,508.91,231347.17199999996,44367,618973,60389,0.6017748913581629,3260457588.081671,0.5659757215978478,30438564.576701477,64.07025643305789,36.04241564604548,0.0431026564222311,20149874.75056347,145829999.8955258,1204993.65461026,2488,851835.3100000003,154529,25171985,220201,590191.4700000002
2021-12-12,1526,49719,695.9949999999999,520862.537,25187,1846181,72618,0.7636556312834841,6402522592.383889,0.5984162859372405,50921145.52335191,140.0421334543418,58.51365035753788,0.23253813085508118,35973133.614416316,371191553.28966963,2711033.599458501,3147,1017180.4299999999,246148,49428483,578235,2039387.53
2021-12-19,1575,33544,481.57700000000006,609705.0780000002,45009,1427447,74586,0.7554955626858693,14560986399.864695,0.5999467062100995,85226907.39729835,96.61047353538237,42.55577362159147,0.17240640873273588,67450115.3047352,381898269.2959551,2574155.4390710983,3721,1357932.6800000002,247989,22359934,267789,1678122.6599999997
2021-12-26,1624,19509,253.273,534575.009,17501,682902,35604,0.7215600588469915,14792175763.679844,0.5333668748397142,104844722.0689837,16.649448617583843,16.512359447493054,0.20358491625993852,99260920.41322981,345349503.79589075,1614677.7981791156,2845,1024743.8700000001,380450,26558343,384194,1916558.3100000003
2022-01-02,1673,21685,301.907,168436.96499999997,20885,737386,40826,0.7847778801729464,2814682605.062336,0.6246922610515274,35156765.96553663,19.688674602050465,19.02032934022568,0.1764771870398596,23850195.283321895,96250036.07731546,2401499.213286996,2953,956613.3199999998,324119,21656744,311202,560507.1100000002
2022-01-09,487,4275,70.0,32453.572,1641,73771,5789,0.2505360154276908,1149893470.4661148,0.1976150823428789,8840904.040465413,0.9630606860158312,0.9630606860158312,0.0593696029306156,7515079.2601905875,16685167.791855276,609532.965458756,811,224950.38,28929,1600097,21235,67790.91
